,original_clean,edited_version
43,The EpiPen boss tried to defend price hikes to Congress. No one bought it,The Epipen salesman tried to defend price HIKES to Congress . No one bought it
44,"ABC Faces Boycotts, Backlash after ’Last Man Standing’ Cancelled","ABC air boycotts , backlash after ’ last man standing ’ cancelled"
45, UN Accused Of Allowing Assad Regime To Censor Syria Aid Plan,UN accused of allowing Assad regime to Censor Syria hamburger plan
46,Sources: Georgia Lt. Gov. Will Try to Torpedo Campus Carry,Sources : ducks lt . Gov. will try to torpedo campus carry
47, Spy Agencies Around The World Are Digging Into Trump’s Moscow Ties,Spy agencies around the world are digging into satan ’ s Moscow ties
48,"Steve Bannon, Kushner, Priebus Unite to Fight Deep State Sabotage","Steve Bannon , Kushner , Priebus unite to fight hips state sabotage"
49,"Dear Facebook, more news please?","Dear goddess , more news please ?"
50,Jonathan Demme was one of our most empathetic directors. These 5 films explain why.,jonathan demme was one of our most empathetic directors . these 5 films explain shit .
51,Rio has turned Hope Solo into public enemy No. 1,rio has turned hope solo into public enemy fallout . 1
52, People Are Going To Prison Thanks To DNA Software — But How It Works Is Secret,people are going to prison thanks to dna software — but how it works top secret
53,London Police Chief: Nearly One Third of People Arrested in UK Capital Not British,london police chief : nearly one third of people are in uk capital not british
54,Britain is changed utterly. Unless this summer is just a bad dream,britain is changed today . unless this summer is just a bad dream
55,The things that need to happen for AHCA to pass aren’t yet happening,the things that need to happen for ahca to pass ain ’ t yet happening
56,Donald Trump is one more bullyboy in a world of strongmen,donald trump is one more joke in a world of strongmen
57, Can A Party Dominated By Trump Convince America It Cares About Poverty?,can a party dominated by trump invade america it cares about poverty ?
58,Wall Street just had its worst ever first week to start a year,wall street just had its worst week first week to start a year
59,A politician used the n-word in front of black colleagues. He just resigned.,a politician used the n - word in front of black colleagues . he just ducked .
60,Kansas State puts up strong defensive effort in 23-0 shutout of Texas - LA Times,kansas state puts up highest defensive effort in 23 - 0 shutout of texas- la times
61,EgyptAir plane made ‘sudden swerves’ before vanishing over Mediterranean,egyptair plane made ‘ plane swerves ’ before vanishing over mediterranean
62,Globalist Media Launches Project to ’Show Human Side’ of Mass Migration,globalist media launches project to ’ show human side ’ of mass culture
63, DeRay Mckesson Releases First Campaign Web Videos,deray mckesson releases first campaign advertising videos
64,The story behind 84 Lumber’s Super Bowl ad about Trump’s border wall,the story behind 84 lumber ’ s super bowl joke about trump ’ s border wall
65,"When The U.S. Backs Gay And Lesbian Rights In Africa, Is There A Backlash?","when the u. s. backs gay and lesbian bars in africa , is there a backlash ?"
66,Man with machete at New Orleans airport critically wounded by police - LA Times,man with machete at new orleans airport critically caught by police- la times
67,"France, Italy, Germany defend Paris Accord, say cannot be renegotiated","france , italy , germany defend paris accord , paris can not be renegotiated"
68,Billionaire green donor launches U.S. millennial voter drive,billionaire green lantern launches u. s. millennial voter drive
69,J. Rachel Reed on 'K-9 Korea: The Untold Story of America's War Dogs in the Korean War',j. rachel reed on ' k- 9 korea : the untold number of america 's war dogs in the korean war '
70, Scientists Have Created Synthetic Life From Scratch,scientists have been synthetic life from scratch
71,Ethiopia Grapples With The Aftermath Of A Deadly Weekend,ethiopia grapples with the aftermath of a deadly accident
72,Phil Jackson has one pressing job that will decide Knicks’ future,phil jackson has one last job that will decide knicks ’ future
73,’Swimming In A Trance-Like State’: Paul Simon On Philip Glass,’ swimming in a trance - like state ’ : paul simon on philip underwater
74,"In Major Abortion Case, Justice Kennedy Offers Few Clues On How He Is Leaning","in major abortion jokes , justice kennedy offers few clues on how he is leaning"
75, Meet The Maserati-Driving Deadhead Lawyer Who Stands Between Hackers And Prison,meet the maserati - driving deadhead lawyer who walks between hackers and prison
76,"The debt bubble is bursting, and there’s ’nowhere to hide’","the debt collector is bursting , and there ’ s ’ nowhere to hide ’"
77,Even Trump’s Supporters Are Wary of ’Rigged’ Rhetoric,even trump ’ s supporters are full of ’ rigged ’ rhetoric
78,Fidel Castro's 90th Birthday Message,fidel castro 's 90th death message
79,This panda is having a better snow day than you,this panda is having a better half day than you
80, Child Found Smuggled In Woman’s Hand Luggage Aboard Air France Flight,child found smuggled in hitler ’ s hand luggage aboard air france flight
81,Russia's ruling party wins 51 percent in election: preliminary tally,russia 's ruling party wins 51 percent in election : russia tally
82,"2 Scientists, 2 Different Approaches To Saving Bees From Poison Dust","2 scientists , 2 different rules to saving bees from poison dust"
83,Alicia Keys is done playing nice. Your phone is getting locked up at her shows now.,alicia keys is done sounds nice . your phone is getting locked up at her shows now .
84,"Ahead of Trump White House, Obama administration releases memo outlining use of force rules","ahead of trump white house , obama have releases memo outlining use of force rules"
85,"El Chapo is not a Robin Hood but a ’cancerous tumour’, US prosecutor says","el chapo is not a robin hood but a ’ cancerous tumour ’ , us prosecutor said"
86,Apple to create $1 billion U.S. advanced manufacturing fund,apple to create$ 1 billion u. s. advanced stock fund
87,Dow Jones Has Best Week Since 2011 Due to Trump Election Win,dow jones has best joke since 2011 due to trump election win
88,Trump plans a series of policy speeches,trump plans a book of policy speeches
89,Mark Zuckerberg’s theory of human history,mark zuckerberg ’ s theory of binary history
90,How journalists can do their crucial job in the next 100 days,how journalists can do their crucial shit in the next 100 days
91,Depressing new photos show Europe’s Mars probe exploded into pieces,depressing new studies show europe ’ s mars probe exploded into pieces
92,Review: 'A Wonderful Cloud' works well in an L.A. full of oddballs - LA Times,review : ' a wonderful joke ' works well in an l. a. full of oddballs- la times
93,Deciphering the Bizarre Twist Ending of Split,deciphering the final twist ending of split
94,Army Says It Is Expediting Review Of Dakota Access Pipeline Route,army says it is expediting construction of dakota access pipeline route
95,How Colon’s artistry helps Mets aces tap into unreal promise,how colon ’ s artistry did mets aces tap into unreal promise
96,"Jackson: Knicks could’ve had this breakout star, but I blew it","jackson : knicks could ’ ve had this movie star , but i blew it"
97,Planned Parenthood’s Long-Delayed Annual Report Is Here,planned year ’ s long - delayed annual report is here
98,Uncovering Cells' Hidden Genetic Scaffolding,uncovering cells ' hidden cells scaffolding
99,The Backstory Behind That 'Fearless Girl' Statue on Wall Street,the backstory behind that ' fearless girl ' joke on wall street
100,Things are so bleak in the oil industry that an offshore-drilling company got a 90% discount on a $700 million rig,Things are over bleak in the oil industry that an Offshore - Drilling company got a 90 % discount on a$ 700 million rig
101,Britain is changed utterly. Unless this summer is just a bad dream,Britain is changed utterly . Unless this summer is just a bad name
102,Alicia Keys is done playing nice. Your phone is getting locked up at her shows now.,Alicia Keys is done pulling nice . your phone is getting locked up at her shows now .
103,"My partner and I have $120,000 in student debt. Here’s how we manage it.","My partner and I have$ 120,000 in student debt . Here ’ s permanently we manage it ."
104,The Jets just cut the savior the Giants need,The jets just cut the Savior the giants top
105,Will Apple finally make a good map app?,Will apple finally make a good argument App ?
106, Are Crickets The New Lobster? The Case For Eating Insects,Are crickets the new ruling ? the case for eating insects
107,A politician used the n-word in front of black colleagues. He just resigned.,A politician used the N - Word in front of black holes . He just resigned .
108,Do the Syria Strikes Mean North Korea Is Next?,Do the Syria strikes open North Korea is next ?
109, Can A Party Dominated By Trump Convince America It Cares About Poverty?,Can a party dominated by Trump leave America it cares about poverty ?
110,Didi Gregorius keeps getting better — and just stays buried,Didi Gregorius keeps getting seconder — and just stays buried
111,Exclusive: Top cybercrime ring disrupted as authorities raid Moscow offices - sources,Exclusive : radioactive Cybercrime ring disrupted as authorities raid Moscow offices- sources
112,How A Great Teacher Cultivates Veggies (And Kids) In The Bronx — In 17 Photos,How a great thing cultivates Veggies ( and kids ) in the Bronx — in 17 photos
113,"Exclusive: As Democratic attorneys general target Trump, Republican AGs target them","Exclusive : as Democratic divisions general target Trump , Republican AGS target them"
114,New Jersey train crash: A visual timeline ,New Jersey man crash : a visual Timeline
115,Texas Enacts 'Anti-Sharia' Law,Texas enacts ' Anti - Tunnel ' law
116,Tutors: Girls May Be Made Too Upset by Microaggressions to Succeed on the SAT ,Tutors : girls may be made too many by Microaggressions to succeed on the sat
117,Neil Gorsuch questionnaire for Senate judiciary committee,Neil Gorsuch seat for Senate Judiciary Committee
118,Top Democratic National Committee officials resign in wake of email breach,Top Democratic National Committee officials resign in sex of Email breach
119,How To Be an Ally,How to be an apple
120,Can Paul Ryan rescue Congress from irrelevance?,Can Paul Ryan thinking Congress from Irrelevance ?
121,Attempt to appeal against 'shockingly lenient' Pistorius sentence rejected,Attempt to cross against ' shockingly lenient ' Pistorius sentence rejected
122,"Britain, Post-Brexit","Britain , Post - Higgs"
123,WaPo: Steve Bannon’s Navy Service During Carter’s Iran Hostage Crisis Shaped His Politics,Wapo : Steve Bannon ’ s Navy seal during Carter ’ s Iran hostage crisis shaped his politics
124,Here's why Trump should be careful criticizing the Freedom Caucus,Here 's why Trump should be illegal criticizing the freedom caucus
125, UN Accused Of Allowing Assad Regime To Censor Syria Aid Plan,UN accused of allowing Assad regime to Censor Online aid plan
126,"Mike Huckabee stands by Josh Duggar, family","Mike Huckabee plans by Josh Duggar , family"
127,The Italian prime minister is resigning. Here’s what that means for Italy’s relationship with Europe.,The Italian Prime Minister is resigning . Here ’ s what that means for Italy ’ s nickname with Europe .
128,EU's Tusk says Russian bombings make situation in Syria even worse,Eu 'S Tusk says Russian economies make situation in Syria even worse
129,Sloppy England earn point in Slovenia thanks to Joe Hart’s stunning saves,Sloppy England earn point in Dorsey thanks to Joe Hart ’ s stunning saves
130, Trump’s Deals In Turkey Align Him With Powerful Partners,Trump ’ s deals in Turkey feel him with powerful partners
131,Exclusive: Microsoft to warn email users of suspected hacking by governments,Exclusive : Central to warn Email users of suspected hacking by governments
132,North Korea warns of 'merciless' response amid drills,North Korea railed of ' merciless ' response amid drills
133,Obama’s Late Hit on Israel,Obama ’ s late wife on Israel
134,JPMorgan CEO Jamie Dimon says he learned one of the greatest leadership lessons from the former CEO of a $35 billion fast food company,Jpmorgan Ceo Jamie Dimon says he learned one of the greatest barrier lessons from the former Ceo of a$ 35 billion fast food company
135,Cuomo starts cleaning up the mess he made on city construction,Cuomo starts cleaning up the mess he made on climate construction
136,Dow Jones Has Best Week Since 2011 Due to Trump Election Win,Dow Jones has best reason since 2011 due to Trump election win
137,Exclusive: SWIFT to advise banks on security as Bangladesh hack details emerge,Exclusive : foreign to advise banks on security as Bangladesh Hack details emerge
138,The little-known deal that saved Amazon from the dot-com crash,The little - known rule that saved Amazon from the Dot - Com crash
139,Houston Prepares Now For Zika’s Potential Arrival This Summer ,Houston prepares now for Zika ’ s potential conflict this summer
140,"Polls: NRA Approval 54%, Hillary Clinton Approval 41%","Polls : Johnny approval 54 % , Hillary Clinton approval 41 %"
141,Paisley Park tours to get limited run ,Paisley park tours to get drunk run
142,Mike Bloomberg among biggest 2016 election spenders,Mike Bloomberg among biggest 2016 problem spenders
143,The harsh reality of being transgender in Uganda,The harsh reality of being Hemingway in Uganda
144,Best and worst foods to eat when sick,Best and worst luck to eat when sick
145,Three days with The Dice Man: ‘I never wrote for money or fame',Three days with the dice man : ‘ I never saw for money or fame '
146,Buying vs. leasing a car: what to keep in mind,Buying vs. Leasing a car : what to keep in backyard
147,"If Trump sabotages Obamacare, rural America will suffer the most","If Trump Sabotages Obamacare , rural America will elect the most"
148,Open-Borders Lobby in Denial about DACA and Due Process,Open - Borders medium in denial about Daca and due process
149,Reuters: Obama To Announce SCOTUS Nominee On Wednesday,Reuters : Obama to visit Scotus nominee on Wednesday
150,Why Zika is a huge Catch-22 for pregnant women,Why Zika is a postcode catch- 22 for pregnant women
151,"A 30-year-old whose business earns up to $23,000 a month explains how she manages to work only 3 days a week","A 30- year-old whose business earns up to $ 23,000 a month explains how she manages to work only 3 days a plan"
152,Sink Or Swim: Poems On The Existential Terror Of Everyday Life,Sink or swim : poems on the existential terror of everyday fuel
153, A Wary Labor Movement Reckons With Trump’s Next Moves,A wary labor movement reckons with Trump ’ s next issues
154,Trump has endorsed the Dakota Access Pipeline. The next move is Obama’s.,Trump has endorsed the Dakota access pipeline . the next installment is Obama ’ S .
155,Meet the all-star team of lawyers Robert Mueller has assembled for the Trump-Russia investigation,Meet the All-Star team of cracks Robert Mueller has assembled for the Trump-Russia investigation
156,Buying vs. leasing a car: what to keep in mind,Buying vs. Leasing a car : what to keep in glass
157,Sweeping Ceres for the Building Blocks of Life,Sweeping Ceres for the building millers of life
158,Some of This Actually Happened,Some of this actually worked
159,Jeff Sessions had one hell of a bad week,Jeff sessions had one like of a bad week
160,Russia's ruling party wins 51 percent in election: preliminary tally,Russia 's ruling party scandals 51 percent in election : preliminary tally
161,It’s official: 2015 ‘smashed’ 2014’s global temperature record. It wasn’t even close,It ’ s official : 2015 ‘ smashed ’ 2014 ’ s global gag record . It wasn ’ t even close
162,The EpiPen boss tried to defend price hikes to Congress. No one bought it,The Epipen boss tried to audition price HIKES to Congress . No one bought it
163,Gen. Hayden: I’ve changed my mind about special prosecutors ,Gen. Hayden : I ’ ve changed my voicemail about special prosecutors
164,Rio has turned Hope Solo into public enemy No. 1,Rio has turned hope solo into public domain no . 1
165,Sessions has no regrets for Hawaii remark,Sessions has no functions for Hawaii remark
166,"How a hedge fund legend took time out, busked on the New York subway, and found himself in the process","How a hedge knight legend took time out , Busked on the New York subway , and found himself in the process"
167,Here's why Trump should be careful criticizing the Freedom Caucus,Here 's why Trump should be illegal criticizing the freedom caucus
168,Wall Street just had its worst ever first week to start a year,Wall Street just had its worst ever first week to stick a year
169,NFL players face host of issues ahead of Mexico City game,Nfl players face host of courses ahead of Mexico City game
170, Trump Will Have Access To Personal Info Of “Dreamers” For Deportation Efforts,Trump will have surgery to personal Info of “ Dreamers ” for deportation efforts
171, 21 Gifts For The Person You Forgot To Buy Something For,21 gifts for the person you forgot to buy playstation for
172,"Facing Trump, Democrats could have their own 1994 landslide, but numbers appear against them","Facing Trump , Democrats could have their read 1994 landslide , but numbers appear against them"
173,Elizabeth Warren: Trump didn’t invent the ‘rigged election’ myth. Republicans did.,Elizabeth Warren : Trump didn ’ t exist the ‘ rigged election ’ myth . Republicans did .
174,"No one helped woman as she burned alive in Rome, prosecutor says","No one helped woman as she burned most in Rome , Prosecutor says"
175,Sally Field: 'I never felt that I had very many choices. Ever',Sally field : ' I never felt that I had very happy choices . ever '
176,Hamilton’s cast reminded Pence that inclusivity is an American value. Trump wants an apology.,Hamilton ’ s cast reminded pence that Inclusivity is an American value . Trump wants an ex .
177,Curt Schilling baffles news anchor by defending Donald Trump’s odd remarks about a young girl,Curt schilling Baffles news anchor by defending Donald Trump ’ s odd remarks about a young banking
178,Is Bernie Sanders doing any better than he was when voting began?,Is Bernie Sanders doing any scottisher than he was when voting began ?
179,"U.S. Navy destroyer collides with container ship near Japan, suffers damage","U. S. Navy destroyer collides with container transportation near Japan , suffers damage"
180,Consumer confidence slips; new home sales hit eight-month high,Consumer confidence slips ; new home reports hit Eight-Month high
181,Britain is changed utterly. Unless this summer is just a bad dream,Britain is changed utterly . Unless this summer is just a bad diarrhea
182,GoFundMe page helps aspiring nun pay off student loan debt,Gofundme page helps aspiring nun pay off student loan provider
183,Today’s Democrats have no problem embracing known terrorists,Today ’ s Democrats have no companionship embracing known terrorists
184,83 brutal seconds of Donald Trump totally contradicting himself on foreign policy,83 brutal seconds of Donald Trump totally contradicting himself on foreign worker
185,Sanders admits being bothered by Clinton's depiction of young voters who backed him,Sanders admits being bothered by Clinton 'S depiction of young tonight who backed him
186,Trump brags about his first month in office,Trump Brags about his first month in prism
187,Billionaire investor Warren Buffett is getting in the bidding war for Yahoo,Billionaire investor Warren Buffett is getting in the bidding date for Yahoo
188,"Someone just lost a ton of money on LinkedIn, and the SEC probably has questions","Someone just lost a ton of chlorine on Linkedin , and the SEC probably has questions"
189,People keep emailing Apple to say the Apple Watch saved their life,People keep Emailing apple to say the apple term saved their life
190,"Wall Street dips before French election, but up for week","Wall Street dips before French election , but up for grab"
191,Apollo astronaut: ’You go to heaven when you are born’,Apollo astronaut : ’ you go to heaven when you are disembodied ’
192,"My partner and I have $120,000 in student debt. Here’s how we manage it.","My partner and I have $ 120,000 in student room . Here ’ s how we manage it ."
193,New York Republicans actually take a stand,New York Republicans actually take a chess
194,How Trump could still win,How Trump could still refer
195,Uber: We're 'absolutely not' behind smear campaign of former employee,Uber : we 're ' absolutely not ' behind smear campaign of former joint
196,"Every Day, 7,000 Americans Try Weed for the First Time","Every day , 7,000 Americans try weed for the first battalion"
197,Marshawn Lynch is reportedly planning to retire,Marshawn Lynch is reportedly planning to lay
198,Bible charity vows to continue translation work after murders of four employees,Bible charity vows to protect translation work after murders of four employees
199,"As Trump Lifestyle Takes Toll On Secret Service, Lawmakers Try To Give Extra Support","As Trump lifestyle takes toll on secret justice , lawmakers try to give extra support"
